position,driver_number,date,session_key,meeting_key
1,1,2023-02-23T06:54:49.318000,9222,1140
2,2,2023-02-23T06:54:49.318000,9222,1140
3,4,2023-02-23T06:54:49.318000,9222,1140
4,10,2023-02-23T06:54:49.318000,9222,1140
5,14,2023-02-23T06:54:49.318000,9222,1140
6,16,2023-02-23T06:54:49.318000,9222,1140
7,20,2023-02-23T06:54:49.318000,9222,1140
8,21,2023-02-23T06:54:49.318000,9222,1140
9,22,2023-02-23T06:54:49.318000,9222,1140
10,23,2023-02-23T06:54:49.318000,9222,1140
11,24,2023-02-23T06:54:49.318000,9222,1140
12,27,2023-02-23T06:54:49.318000,9222,1140
13,31,2023-02-23T06:54:49.318000,9222,1140
14,34,2023-02-23T06:54:49.318000,9222,1140
15,44,2023-02-23T06:54:49.318000,9222,1140
16,55,2023-02-23T06:54:49.318000,9222,1140
17,63,2023-02-23T06:54:49.318000,9222,1140
18,77,2023-02-23T06:54:49.318000,9222,1140
19,81,2023-02-23T06:54:49.318000,9222,1140
2,1,2023-02-23T07:00:03.737000,9222,1140
3,2,2023-02-23T07:00:03.737000,9222,1140
4,4,2023-02-23T07:00:03.737000,9222,1140
5,10,2023-02-23T07:00:03.737000,9222,1140
6,14,2023-02-23T07:00:03.737000,9222,1140
7,16,2023-02-23T07:00:03.737000,9222,1140
8,20,2023-02-23T07:00:03.737000,9222,1140
9,21,2023-02-23T07:00:03.737000,9222,1140
10,22,2023-02-23T07:00:03.737000,9222,1140
11,23,2023-02-23T07:00:03.737000,9222,1140
12,24,2023-02-23T07:00:03.737000,9222,1140
13,27,2023-02-23T07:00:03.737000,9222,1140
14,31,2023-02-23T07:00:03.737000,9222,1140
15,34,2023-02-23T07:00:03.737000,9222,1140
16,44,2023-02-23T07:00:03.737000,9222,1140
17,55,2023-02-23T07:00:03.737000,9222,1140
1,63,2023-02-23T07:00:03.737000,9222,1140
3,1,2023-02-23T07:00:05.955000,9222,1140
4,2,2023-02-23T07:00:05.955000,9222,1140
5,4,2023-02-23T07:00:05.955000,9222,1140
6,10,2023-02-23T07:00:05.955000,9222,1140
7,14,2023-02-23T07:00:05.955000,9222,1140
8,16,2023-02-23T07:00:05.955000,9222,1140
9,20,2023-02-23T07:00:05.955000,9222,1140
10,21,2023-02-23T07:00:05.955000,9222,1140
11,22,2023-02-23T07:00:05.955000,9222,1140
12,23,2023-02-23T07:00:05.955000,9222,1140
2,24,2023-02-23T07:00:05.955000,9222,1140
4,1,2023-02-23T07:00:08.471000,9222,1140
5,2,2023-02-23T07:00:08.471000,9222,1140
6,4,2023-02-23T07:00:08.471000,9222,1140
7,10,2023-02-23T07:00:08.471000,9222,1140
8,14,2023-02-23T07:00:08.471000,9222,1140
9,16,2023-02-23T07:00:08.471000,9222,1140
10,20,2023-02-23T07:00:08.471000,9222,1140
11,21,2023-02-23T07:00:08.471000,9222,1140
12,22,2023-02-23T07:00:08.471000,9222,1140
3,23,2023-02-23T07:00:08.471000,9222,1140
5,1,2023-02-23T07:00:08.830000,9222,1140
6,2,2023-02-23T07:00:08.830000,9222,1140
7,4,2023-02-23T07:00:08.830000,9222,1140
8,10,2023-02-23T07:00:08.830000,9222,1140
9,14,2023-02-23T07:00:08.830000,9222,1140
10,16,2023-02-23T07:00:08.830000,9222,1140
11,20,2023-02-23T07:00:08.830000,9222,1140
12,21,2023-02-23T07:00:08.830000,9222,1140
13,22,2023-02-23T07:00:08.830000,9222,1140
14,27,2023-02-23T07:00:08.830000,9222,1140
15,31,2023-02-23T07:00:08.830000,9222,1140
16,34,2023-02-23T07:00:08.830000,9222,1140
17,44,2023-02-23T07:00:08.830000,9222,1140
4,55,2023-02-23T07:00:08.830000,9222,1140
6,1,2023-02-23T07:00:11.815000,9222,1140
7,2,2023-02-23T07:00:11.815000,9222,1140
8,4,2023-02-23T07:00:11.815000,9222,1140
9,10,2023-02-23T07:00:11.815000,9222,1140
10,14,2023-02-23T07:00:11.815000,9222,1140
11,16,2023-02-23T07:00:11.815000,9222,1140
12,20,2023-02-23T07:00:11.815000,9222,1140
13,21,2023-02-23T07:00:11.815000,9222,1140
5,22,2023-02-23T07:00:11.815000,9222,1140
8,2,2023-02-23T07:00:50.877000,9222,1140
9,4,2023-02-23T07:00:50.877000,9222,1140
10,10,2023-02-23T07:00:50.877000,9222,1140
11,14,2023-02-23T07:00:50.877000,9222,1140
12,16,2023-02-23T07:00:50.877000,9222,1140
13,20,2023-02-23T07:00:50.877000,9222,1140
14,21,2023-02-23T07:00:50.877000,9222,1140
7,27,2023-02-23T07:00:50.877000,9222,1140
9,2,2023-02-23T07:01:04.533000,9222,1140
10,4,2023-02-23T07:01:04.533000,9222,1140
8,10,2023-02-23T07:01:04.533000,9222,1140
4,23,2023-02-23T07:03:39.453000,9222,1140
3,24,2023-02-23T07:03:39.453000,9222,1140
1,55,2023-02-23T07:03:39.453000,9222,1140
2,63,2023-02-23T07:03:39.453000,9222,1140
3,22,2023-02-23T07:04:04.203000,9222,1140
5,23,2023-02-23T07:04:04.203000,9222,1140
4,24,2023-02-23T07:04:04.203000,9222,1140
