date,category,flag,scope,message,session_key,meeting_key,driver_number,lap_number,sector
2023-02-23T07:00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,9222,1140,,,
2023-02-23T07:00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,9222,1140,,,
2023-02-23T07:08:43,Flag,RED,Track,RED FLAG,9222,1140,,,
2023-02-23T07:08:43,Flag,RED,Track,RED FLAG,9222,1140,,,
2023-02-23T07:25:11,Other,,,SESSION WILL RESUME AT 10:30,9222,1140,,,
2023-02-23T07:25:11,Other,,,SESSION WILL RESUME AT 10:30,9222,1140,,,
2023-02-23T07:25:35,Flag,CLEAR,Track,TRACK CLEAR,9222,1140,,,
2023-02-23T07:25:35,Flag,CLEAR,Track,TRACK CLEAR,9222,1140,,,
2023-02-23T07:25:39,Drs,,,DRS ENABLED,9222,1140,,,
2023-02-23T07:25:39,Drs,,,DRS ENABLED,9222,1140,,,
2023-02-23T07:30:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,9222,1140,,,
2023-02-23T07:30:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,9222,1140,,,
2023-02-23T11:00:38,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,9222,1140,,,11.0
2023-02-23T11:00:38,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,9222,1140,,,11.0
2023-02-23T11:00:47,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,9222,1140,,,10.0
2023-02-23T11:00:47,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,9222,1140,,,10.0
2023-02-23T11:01:21,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,9222,1140,,,
2023-02-23T11:01:21,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,9222,1140,,,
2023-02-23T11:05:02,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,9222,1140,,,10.0
2023-02-23T11:05:02,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,9222,1140,,,10.0
2023-02-23T11:05:04,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,9222,1140,,,11.0
2023-02-23T11:05:04,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,9222,1140,,,11.0
2023-02-23T11:05:14,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,9222,1140,,,
2023-02-23T11:05:14,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,9222,1140,,,
2023-02-23T11:05:29,Flag,CLEAR,Track,TRACK CLEAR,9222,1140,,,
2023-02-23T11:05:29,Flag,CLEAR,Track,TRACK CLEAR,9222,1140,,,
2023-02-23T11:05:31,Drs,,,DRS ENABLED,9222,1140,,,
2023-02-23T11:05:31,Drs,,,DRS ENABLED,9222,1140,,,
2023-02-23T11:15:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,9222,1140,,,
2023-02-23T11:15:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,9222,1140,,,
2023-02-23T11:15:11,Other,,,AIR TEMPERATURE 1 HOUR BEFORE THE SESSION = 30.4 DEGREES,9222,1140,,,
2023-02-23T11:15:11,Other,,,AIR TEMPERATURE 1 HOUR BEFORE THE SESSION = 30.4 DEGREES,9222,1140,,,
2023-02-23T11:24:49,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,9222,1140,,,16.0
2023-02-23T11:24:49,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,9222,1140,,,16.0
2023-02-23T11:24:51,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,9222,1140,,,15.0
2023-02-23T11:24:51,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,9222,1140,,,15.0
2023-02-23T11:24:56,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,9222,1140,,,
2023-02-23T11:24:56,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,9222,1140,,,
2023-02-23T11:25:36,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,9222,1140,,,16.0
2023-02-23T11:25:36,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,9222,1140,,,16.0
2023-02-23T11:25:38,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,9222,1140,,,15.0
2023-02-23T11:25:38,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,9222,1140,,,15.0
2023-02-23T11:25:56,Other,,,CAR 243 TIME 0:00.000 DELETED - DOUBLE YELLOW,9222,1140,,,
2023-02-23T11:25:56,Other,,,CAR 243 TIME 0:00.000 DELETED - DOUBLE YELLOW,9222,1140,,,
2023-02-23T11:26:05,Other,,,RECOVERY VEHICLE ON TRACK AT TURN 13,9222,1140,,,
2023-02-23T11:26:05,Other,,,RECOVERY VEHICLE ON TRACK AT TURN 13,9222,1140,,,
